"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TATAPOWER","EQ","01-Dec-2020","         64.90","         65.60","         69.45","         65.00","         69.05","         68.85","         67.66","   70704403","          4783756928.25","     120710","   17810379","         25.19"
"TATAPOWER","EQ","02-Dec-2020","         68.85","         69.50","         69.65","         66.70","         67.90","         67.95","         68.11","   46261091","          3150935040.90","      94970","    8973653","         19.40"
"TATAPOWER","EQ","03-Dec-2020","         67.95","         68.50","         69.70","         67.60","         69.70","         69.25","         68.52","   37361699","          2559883345.55","      79081","    7983376","         21.37"
"TATAPOWER","EQ","04-Dec-2020","         69.25","         71.70","         73.60","         69.35","         71.50","         71.65","         71.84","   97738908","          7021313439.30","     194472","   17494512","         17.90"
"TATAPOWER","EQ","07-Dec-2020","         71.65","         72.45","         73.35","         71.15","         71.70","         71.65","         72.25","   39355314","          2843417410.20","      79247","    7282551","         18.50"
"TATAPOWER","EQ","08-Dec-2020","         71.65","         73.00","         73.10","         70.25","         71.85","         72.00","         71.67","   43645664","          3128061612.80","      90143","    7849482","         17.98"
"TATAPOWER","EQ","09-Dec-2020","         72.00","         72.60","         75.00","         71.90","         73.45","         73.15","         73.52","   58476323","          4299269006.60","     108417","   11648477","         19.92"
"TATAPOWER","EQ","10-Dec-2020","         73.15","         73.00","         73.45","         71.00","         72.75","         72.65","         72.29","   29242808","          2113929651.25","      49953","    4177210","         14.28"
"TATAPOWER","EQ","11-Dec-2020","         72.65","         72.75","         74.10","         72.15","         72.70","         72.80","         73.16","   36847385","          2695646408.35","      69662","    8628637","         23.42"
"TATAPOWER","EQ","14-Dec-2020","         72.80","         73.45","         74.10","         72.80","         73.60","         73.45","         73.37","   20767955","          1523769493.25","      48115","    4891823","         23.55"
"TATAPOWER","EQ","15-Dec-2020","         73.45","         73.40","         75.50","         72.50","         75.15","         75.15","         73.92","   38943070","          2878796470.15","      59227","   11823042","         30.36"
"TATAPOWER","EQ","16-Dec-2020","         75.15","         75.50","         76.45","         74.65","         76.05","         76.15","         75.72","   36595158","          2771144483.05","      59773","   10449953","         28.56"
"TATAPOWER","EQ","17-Dec-2020","         76.15","         76.25","         76.70","         74.65","         74.70","         75.20","         75.97","   28073186","          2132708364.55","      64598","    7349717","         26.18"
"TATAPOWER","EQ","18-Dec-2020","         75.20","         75.00","         76.45","         73.65","         75.55","         76.05","         75.44","   49891456","          3763717202.50","      64768","   20783329","         41.66"
"TATAPOWER","EQ","21-Dec-2020","         76.05","         75.85","         75.85","         66.40","         68.55","         69.05","         71.57","   51731072","          3702271261.45","     107444","   12423415","         24.02"
"TATAPOWER","EQ","22-Dec-2020","         69.05","         69.00","         71.90","         66.70","         71.65","         71.65","         69.69","   46224467","          3221454476.55","      96576","    5772041","         12.49"
"TATAPOWER","EQ","23-Dec-2020","         71.65","         72.00","         74.45","         71.50","         74.25","         74.15","         73.11","   30689573","          2243691551.55","      62574","    6034513","         19.66"
"TATAPOWER","EQ","24-Dec-2020","         74.15","         74.60","         75.60","         74.25","         74.35","         74.50","         74.95","   23223241","          1740586012.75","      46453","    4918320","         21.18"
"TATAPOWER","EQ","28-Dec-2020","         74.50","         75.25","         77.95","         75.10","         77.70","         77.20","         76.85","   35601036","          2736094126.00","      81156","    7719244","         21.68"
