"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ADANIPOWER","EQ","18-Feb-2021","         54.25","         54.35","         56.80","         54.35","         55.85","         55.70","         55.66","   12151778","           676398800.45","      35694","    4716665","         38.81"
"ADANIPOWER","EQ","19-Feb-2021","         55.70","         56.00","         58.60","         54.45","         56.00","         55.85","         56.79","   18821118","          1068879482.65","      49051","    6650636","         35.34"
"ADANIPOWER","EQ","22-Feb-2021","         55.85","         56.00","         57.35","         54.85","         55.30","         55.50","         56.05","    8075120","           452622486.55","      25086","    2953108","         36.57"
"ADANIPOWER","EQ","23-Feb-2021","         55.50","         55.90","         56.65","         54.95","         55.50","         55.30","         55.87","    5327401","           297641159.80","      16001","    2011590","         37.76"
"ADANIPOWER","EQ","24-Feb-2021","         55.30","         55.70","         56.25","         55.05","         55.30","         55.25","         55.63","    2874207","           159892330.90","       9861","    1236194","         43.01"
"ADANIPOWER","EQ","25-Feb-2021","         55.25","         55.80","         57.25","         55.50","         56.40","         56.50","         56.52","    9600214","           542574975.60","      25628","    3822013","         39.81"
"ADANIPOWER","EQ","26-Feb-2021","         56.50","         55.90","         56.25","         55.05","         55.15","         55.20","         55.56","    5637928","           313254218.80","      19196","    2785932","         49.41"
"ADANIPOWER","EQ","01-Mar-2021","         55.20","         55.85","         56.50","         55.40","         55.70","         55.75","         55.97","    4632559","           259264437.95","      14804","    1821279","         39.31"
"ADANIPOWER","EQ","02-Mar-2021","         55.75","         56.25","         61.30","         56.10","         61.30","         61.30","         59.81","   33280011","          1990455411.95","      71440","   15532248","         46.67"
"ADANIPOWER","EQ","03-Mar-2021","         61.30","         64.00","         66.65","         63.25","         64.85","         64.90","         65.21","   37166788","          2423673959.95","     118937","   18159383","         48.86"
"ADANIPOWER","EQ","04-Mar-2021","         64.90","         63.70","         71.35","         63.20","         71.35","         71.35","         69.08","   29096275","          2009880770.80","      73440","   12685044","         43.60"
"ADANIPOWER","EQ","05-Mar-2021","         71.35","         73.00","         74.90","         68.25","         74.90","         74.35","         72.80","   52415895","          3815850439.20","     124548","   16780496","         32.01"
"ADANIPOWER","EQ","08-Mar-2021","         74.35","         76.35","         78.05","         76.00","         78.05","         78.05","         77.57","    8994128","           697653939.50","      22854","    4656168","         51.77"
"ADANIPOWER","EQ","09-Mar-2021","         78.05","         81.80","         81.95","         76.10","         81.95","         81.85","         80.64","   55769672","          4497155238.05","     190248","   16982233","         30.45"
"ADANIPOWER","EQ","10-Mar-2021","         81.85","         83.00","         84.35","         77.80","         77.80","         77.80","         80.59","   32046833","          2582517412.15","     121396","   15962460","         49.81"
"ADANIPOWER","EQ","12-Mar-2021","         77.80","         75.50","         79.30","         73.95","         75.35","         75.55","         76.16","   38391001","          2923974507.90","     127119","   10869032","         28.31"
"ADANIPOWER","EQ","15-Mar-2021","         75.55","         77.00","         79.30","         74.10","         79.30","         79.30","         77.48","   24477736","          1896519761.80","      83505","    8709583","         35.58"
"ADANIPOWER","EQ","16-Mar-2021","         79.30","         81.50","         83.25","         80.00","         83.25","         83.10","         81.88","   33636791","          2754064105.65","     107817","   11617023","         34.54"
"ADANIPOWER","EQ","17-Mar-2021","         83.10","         84.40","         87.25","         84.05","         87.25","         87.20","         86.53","   39254374","          3396636170.95","     103520","   12907573","         32.88"
"ADANIPOWER","EQ","18-Mar-2021","         87.20","         90.35","         91.40","         85.50","         88.65","         89.25","         89.50","   49924318","          4468104378.55","     185490","   15485467","         31.02"
"ADANIPOWER","EQ","19-Mar-2021","         89.25","         88.00","         93.00","         84.80","         91.55","         92.20","         88.11","   40856831","          3599906526.95","     143114","   11433691","         27.98"
"ADANIPOWER","EQ","22-Mar-2021","         92.20","         93.50","         96.80","         93.50","         96.80","         96.80","         95.98","   26846097","          2576629612.70","      74678","    9630018","         35.87"
"ADANIPOWER","EQ","23-Mar-2021","         96.80","        101.60","        101.60","        100.00","        101.60","        101.60","        101.51","   10903571","          1106816026.65","      26566","    6236966","         57.20"
"ADANIPOWER","EQ","24-Mar-2021","        101.60","        105.90","        106.65","         99.55","        105.35","        104.35","        104.80","   23899912","          2504800817.05","      89059","   11682350","         48.88"
